17,2017-01-16 17:17:26.903913,2017-03-25 11:06:57.480579
20,2017-01-16 17:47:57.51277,2017-01-16 17:47:57.52205
28,2017-01-22 19:16:09.259179,2017-03-30 19:09:13.892174
1198,2017-04-18 07:53:05.771035,2017-04-18 07:53:05.820612
1677,2017-05-01 00:13:53.321655,2017-05-01 00:13:53.339035
32,2017-02-15 12:07:40.335853,2017-02-15 12:07:40.440779
170,2017-03-15 07:30:37.986301,2017-03-30 16:20:40.059515
1232,2017-04-19 17:59:14.723178,2017-04-19 17:59:14.733254
9,2017-01-16 16:37:49.060115,2017-04-25 15:55:54.15301
144,2017-03-13 19:38:43.161798,2017-03-15 17:51:43.888116
1215,2017-04-18 20:31:00.262303,2017-04-18 20:31:00.419387
21,2017-01-16 18:22:31.374196,2017-01-16 18:22:31.421987
1681,2017-05-01 07:54:35.807105,2017-05-01 07:54:35.815934
33,2017-02-15 16:33:25.421473,2017-02-15 16:33:25.471631
8,2017-01-16 16:36:57.944514,2017-02-22 19:55:34.504814
940,2017-04-10 18:56:45.119133,2017-04-10 18:56:45.153351
1212,2017-04-18 19:29:30.688398,2017-04-18 19:29:30.720658
24,2017-01-20 15:51:03.579593,2017-01-20 15:51:03.826435
4,2017-01-04 17:29:30.741391,2017-01-04 17:29:30.748419
12,2017-01-16 16:55:26.129532,2017-02-12 21:49:59.073956
26,2017-01-22 13:35:21.787627,2017-01-22 13:36:56.860006
27,2017-01-22 14:45:55.06427,2017-04-11 17:16:59.742674
22,2017-01-16 20:06:09.173459,2017-01-16 20:06:09.178864
30,2017-02-09 21:33:15.712387,2017-02-09 21:33:15.779311
16,2017-01-16 17:13:13.545083,2017-01-16 18:00:24.944221
796,2017-04-06 18:55:34.60317,2017-04-09 16:13:11.755342
145,2017-03-13 19:45:21.765069,2017-03-19 11:33:13.79738
236,2017-03-20 08:42:34.805473,2017-03-20 08:42:34.814511
267,2017-03-21 17:16:46.440297,2017-03-21 17:16:46.448882
193,2017-03-16 14:14:26.416423,2017-03-16 14:14:26.425998
227,2017-03-19 10:24:06.415355,2017-03-19 10:24:06.425548
1670,2017-04-30 22:08:02.994798,2017-04-30 22:08:03.004451
231,2017-03-19 15:13:30.15066,2017-04-09 11:10:43.221253
229,2017-03-19 13:39:12.637579,2017-04-07 18:20:12.727198
217,2017-03-18 09:39:49.464153,2017-03-18 09:39:49.471994
174,2017-03-15 15:29:43.733261,2017-04-27 12:46:14.023824
211,2017-03-17 18:21:22.936501,2017-03-29 15:26:03.650215
204,2017-03-16 21:57:20.474541,2017-03-16 21:57:20.490226
205,2017-03-16 22:43:23.822679,2017-03-17 13:24:07.955476
219,2017-03-18 18:10:27.404231,2017-04-01 23:24:09.525629
289,2017-03-23 00:14:29.92653,2017-04-24 21:47:43.063868
230,2017-03-19 13:55:55.256454,2017-03-19 13:55:55.263752
182,2017-03-15 18:48:39.781088,2017-03-15 18:48:39.790009
797,2017-04-06 19:38:20.930991,2017-04-15 12:15:14.096662
1680,2017-05-01 07:22:04.512641,2017-05-01 07:22:04.525253
23,2017-01-17 17:10:06.02717,2017-03-14 15:52:01.667946
92,2017-03-11 22:53:05.359561,2017-03-19 16:39:09.787205
1132,2017-04-17 00:20:05.600153,2017-04-17 00:20:05.652774
256,2017-03-21 05:12:41.911481,2017-03-21 05:12:41.919187
194,2017-03-16 14:23:02.071111,2017-03-31 17:50:56.518061
241,2017-03-20 16:24:29.919355,2017-03-20 16:24:29.929541
207,2017-03-17 08:28:46.730906,2017-03-17 08:28:46.740237
1668,2017-04-30 21:54:36.287737,2017-04-30 21:54:36.296788
1,2016-11-24 21:22:11.146391,2017-04-27 13:46:30.65487
160,2017-03-14 18:38:12.027172,2017-03-14 18:38:12.040688
161,2017-03-14 19:16:18.705318,2017-03-14 19:16:18.745474
147,2017-03-13 20:16:39.845011,2017-03-23 21:54:24.22584
